# Every model named in docs/DESIGN-BRIEF.md.
# wired=yes  the running game asks for this name today — drop the file in and it appears.
# wired=no   named for a later milestone; needs the milestone's code before it renders.
# Regenerate the base list with tools/asset-report.sh --refresh.
asset	folder	wired
ammo_ap	weapons	no
ammo_cryo	weapons	no
ammo_hollowpoint	weapons	no
ammo_incendiary	weapons	no
ammo_standard	weapons	no
attach_bracestock	weapons	no
attach_compensator	weapons	no
attach_cryocell	weapons	no
attach_drumfeed	weapons	no
attach_embercoil	weapons	no
attach_longbarrel	weapons	no
attach_rangefinder	weapons	no
attach_shortbarrel	weapons	no
attach_stabilizer	weapons	no
attach_voltcap	weapons	no
boss_frame01	enemies	no
enemy_aegis	enemies	yes
enemy_broodmother	enemies	no
enemy_carapace	enemies	no
enemy_carapace_plate	enemies	no
enemy_cluster	enemies	yes
enemy_drifter	enemies	yes
enemy_leaper	enemies	no
enemy_mender	enemies	yes
enemy_mole_burrowed	enemies	yes
enemy_mole_surfaced	enemies	yes
enemy_monolith	enemies	yes
enemy_mote	enemies	yes
enemy_nullifier	enemies	no
enemy_ram	enemies	yes
enemy_shade	enemies	yes
enemy_shade_shimmer	enemies	no
enemy_skater	enemies	no
enemy_skiff	enemies	yes
enemy_warden	enemies	yes
enemy_warden_shield	enemies	yes
foundry_deck	maps	yes
foundry_deck_rail	maps	yes
foundry_dress_crucible	maps	yes
foundry_dress_gantry	maps	yes
foundry_dress_lightrig	maps	yes
foundry_dress_pipes	maps	yes
foundry_dress_steamvent	maps	yes
foundry_path_ground	maps	yes
spire_path_ground	maps	no
spire_skybox	maps	no
foundry_pillar	maps	yes
foundry_terrain	maps	yes
foundry_vent_tunnel	maps	yes
foundry_wall_boundary	maps	yes
hands_ember	weapons	yes
hands_firstperson	weapons	no
hands_forge	weapons	no
hands_tempest	weapons	no
hero_ember	heroes	yes
hero_glacier	heroes	yes
hero_forge	heroes	yes
hero_specter	heroes	yes
hero_tempest	heroes	yes
pickup_alloy	economy	no
pickup_flux	economy	no
pickup_gravium	economy	no
pickup_plating	economy	no
pickup_primecore	economy	no
proj_arc_beam	vfx	yes
proj_filament_beam	vfx	yes
proj_lance_bolt	vfx	yes
proj_nova_shell	vfx	yes
proj_skywatch_bolt	vfx	yes
prop_barrel_explosive	maps	no
prop_container_droppable	maps	no
shared_airlane_pylon	maps	yes
shared_armory_kiosk	maps	yes
shared_cache_hidden	maps	no
shared_controlpoint_capturing	maps	no
shared_controlpoint_held	maps	no
shared_controlpoint_neutral	maps	yes
shared_core	maps	yes
shared_core_hit	maps	yes
shared_crusher	maps	no
shared_elevator	maps	yes
shared_elevator_shaft	maps	yes
shared_floodgate	maps	no
shared_gate_operated	maps	no
shared_ladder	maps	yes
shared_launcher_charging	maps	no
shared_launcher_fired	maps	no
shared_launcher_idle	maps	yes
shared_snipernest	maps	yes
shared_spawn_portal	maps	yes
shared_teleporter_pad	maps	no
shared_vent_grate	maps	yes
shared_wall_destructible	maps	no
shared_zipline_anchor	maps	yes
shared_zipline_cable	maps	yes
shared_zipline_trolley	maps	yes
socket_barricade_empty	structures	yes
socket_ground_base	structures	no
socket_ground_empty	structures	yes
socket_trap_empty	structures	yes
socket_wall_base	structures	no
socket_wall_empty	structures	yes
spire_facade	maps	no
spire_fireescape	maps	no
spire_floor	maps	no
spire_roof	maps	no
switchyard_bridge_intact	maps	no
switchyard_catwalk	maps	yes
switchyard_cut_channel	maps	yes
switchyard_dress_buffer	maps	yes
switchyard_dress_container	maps	yes
switchyard_dress_railcar	maps	yes
switchyard_dress_signaltower	maps	yes
switchyard_middeck	maps	yes
switchyard_retainingwall	maps	yes
switchyard_terrain	maps	yes
tower_arc_chassis	structures	yes
tower_barricade	structures	yes
tower_barricade_broken	structures	no
tower_barricade_damaged	structures	no
tower_detector_chassis	structures	yes
tower_filament_chassis	structures	yes
tower_lance_chassis	structures	yes
tower_nova_chassis	structures	yes
tower_overclock_chassis	structures	no
tower_singularity_chassis	structures	yes
tower_skywatch_chassis	structures	yes
trap_launcher_charged	structures	yes
trap_launcher_fired	structures	yes
trap_launcher_rearming	structures	yes
trap_spike_armed	structures	yes
trap_spike_spent	structures	yes
trap_spike_triggered	structures	yes
trap_tar_depleted	structures	yes
trap_tar_full	structures	yes
ui_nameplate	ui	no
vfx_ability_chainsurge	vfx	no
vfx_ability_ignitionwave	vfx	no
vfx_ability_overdrive	vfx	no
vfx_burrow_spray	vfx	no
vfx_cluster_split	vfx	no
vfx_core_breach	vfx	no
vfx_detector_pulse	vfx	no
vfx_flashlight_cone	vfx	no
vfx_nullifier_tether	vfx	no
vfx_overclock_link	vfx	no
vfx_reaction_flashfreeze	vfx	no
vfx_reaction_thermalshock	vfx	no
vfx_revive_beam	vfx	no
vfx_shield_pop	vfx	no
vfx_shield_regen	vfx	no
vfx_status_burn	vfx	no
vfx_status_chill	vfx	no
vfx_status_mark	vfx	no
vfx_status_shock	vfx	no
vfx_status_shred	vfx	no
vfx_tower_place	vfx	no
vfx_tower_sell	vfx	no
vfx_tower_upgrade	vfx	no
vfx_tracer_ap	vfx	no
vfx_tracer_cryo	vfx	no
vfx_tracer_hollowpoint	vfx	no
vfx_tracer_incendiary	vfx	no
vfx_tracer_standard	vfx	no
vfx_wave_clear	vfx	no
vfx_wave_start	vfx	no
weapon_emberpistol_vm	weapons	no
weapon_emberpistol_world	weapons	no
weapon_rifle_vm	weapons	no
weapon_rifle_world	weapons	no
weapon_scattergun_vm	weapons	no
weapon_scattergun_world	weapons	no
weapon_sidearm_vm	weapons	yes
weapon_sidearm_world	weapons	no
weapon_wrench_vm	weapons	no

# Tower upgrade stage modules — chassis + one module per path, ten stages each.
# M2 ships levels 1-5; s6-s10 open with endless at M4. Silhouette jumps at s4/s7/s10.
# The * rows are counted by glob in the report.
tower_arc_damage_s*	structures	yes
tower_arc_range_s*	structures	yes
tower_arc_rate_s*	structures	yes
tower_lance_damage_s*	structures	yes
tower_lance_range_s*	structures	yes
tower_lance_rate_s*	structures	yes
tower_nova_damage_s*	structures	yes
tower_nova_range_s*	structures	yes
tower_nova_rate_s*	structures	yes
tower_singularity_range_s*	structures	yes
tower_singularity_rate_s*	structures	yes
tower_skywatch_damage_s*	structures	yes
tower_skywatch_range_s*	structures	yes
tower_skywatch_rate_s*	structures	yes

# Beyond the brief: extras Claude Design shipped in the first delivery.
# wired=yes here means the integration already consumes them.
foundry_skybox	maps	yes
foundry_terrain_scatter	maps	yes
hero_ember_downed	heroes	yes
